ticker,form,filing_date,ret_21d,ret_21d_spy,ret_21d_excess,status
J,10-Q,2018-05-08,0.06612625754738777,0.03915033230848519,0.026975925238902576,ok
ADT,10-Q,2018-05-09,0.05115121038670645,0.0322446813112538,0.01890652907545265,ok
EXPD,10-Q,2018-05-09,0.09128923700637159,0.0322446813112538,0.059044555695117795,ok
CHRW,10-Q,2018-05-09,0.06332041086790574,0.0322446813112538,0.031075729556651943,ok
PWR,10-Q,2018-05-09,0.028547668912619173,0.0322446813112538,-0.003697012398634625,ok
FLS,10-Q,2018-05-10,-0.11612404858917802,0.024042918417985337,-0.14016696700716336,ok
AXON,10-Q,2018-05-10,0.1760461501315982,0.024042918417985337,0.15200323171361285,ok
BLDR,10-Q,2018-05-10,0.06227098841976919,0.024042918417985337,0.038228070001783854,ok
CPRT,10-Q,2018-05-25,0.03741933233726957,0.0024599751015945692,0.034959357235675004,ok
DE,10-Q,2018-05-31,-0.06029330211350048,0.005751001210375861,-0.06604430332387634,ok
NDSN,10-Q,2018-06-04,-0.013781148401284082,-0.010125833755117775,-0.0036553146461663077,ok
INFO,10-Q,2018-06-26,,0.04322556004338285,,missing_price
AYI,10-Q,2018-07-03,0.02918198461338095,0.04241421739861195,-0.013232232785231002,ok
DAL,10-Q,2018-07-12,0.0858081439624816,0.013565797643902089,0.07224234631857951,ok
FAST,10-Q,2018-07-16,0.05982029452366122,0.01632405927878322,0.043496235244878,ok
UAL,10-Q,2018-07-18,0.03670888007441664,0.010673845957537953,0.026035034116878686,ok
CSX,10-Q,2018-07-18,0.06434737127068257,0.010673845957537953,0.05367352531314462,ok
URI,10-Q,2018-07-18,-0.03821555740666671,0.010673845957537953,-0.048889403364204664,ok
UNP,10-Q,2018-07-19,0.06445447972593521,0.018070845566158233,0.046383634159776976,ok
DOV,10-Q,2018-07-19,0.07462897456726725,0.018070845566158233,0.056558129001109014,ok
SNA,10-Q,2018-07-19,0.01666871502799383,0.018070845566158233,-0.0014021305381644034,ok
HON,10-Q,2018-07-20,0.020243153838526817,0.021417423976950012,-0.0011742701384231946,ok
KSU,10-Q,2018-07-20,,0.021417423976950012,,missing_price
LII,10-Q,2018-07-23,0.06808386682679912,0.02191269879678326,0.04617116803001586,ok
LMT,10-Q,2018-07-24,-0.0020150127526707973,0.01619277756792692,-0.018207790320597717,ok
TT,10-Q,2018-07-25,0.03443559311533195,0.0062676359502849,0.028167957165047053,ok
GD,10-Q,2018-07-25,-0.05829431091505166,0.0062676359502849,-0.06456194686533656,ok
NOC,10-Q,2018-07-25,0.0070387664363706914,0.0062676359502849,0.0007711304860857915,ok
PNR,10-Q,2018-07-25,0.01789532697751084,0.0062676359502849,0.01162769102722594,ok
R,10-Q,2018-07-25,-0.002928561146071429,0.0062676359502849,-0.009196197096356329,ok
HUBB,10-Q,2018-07-25,0.02487054758831464,0.0062676359502849,0.01860291163802974,ok
NSC,10-Q,2018-07-25,0.03625750274686057,0.0062676359502849,0.02998986679657567,ok
BA,10-Q,2018-07-25,-0.018889125263159445,0.0062676359502849,-0.025156761213444345,ok
AAL,10-Q,2018-07-26,-0.027453617723586676,0.014717087983794785,-0.04217070570738146,ok
MMM,10-Q,2018-07-26,-0.006222493115936478,0.014717087983794785,-0.020939581099731264,ok
FTV,10-Q,2018-07-26,-0.013298889267993497,0.014717087983794785,-0.028015977251788282,ok
NLSN,10-Q,2018-07-26,,0.014717087983794785,,missing_price
ALLE,10-Q,2018-07-26,0.07106010422674536,0.014717087983794785,0.05634301624295057,ok
EFX,10-Q,2018-07-26,0.07875142755843711,0.014717087983794785,0.06403433957464233,ok
RSG,10-Q,2018-07-27,0.009104919791844468,0.029706573414151505,-0.020601653622307037,ok
COL,10-Q,2018-07-27,-0.09090907243657698,0.029706573414151505,-0.12061564585072848,ok
CTAS,10-K,2018-07-27,0.034190017934431216,0.029706573414151505,0.004483444520279711,ok
LDOS,10-Q,2018-07-27,0.03534397182482829,0.029706573414151505,0.005637398410676786,ok
GE,10-Q,2018-07-27,-0.022205198300554896,0.029706573414151505,-0.0519117717147064,ok
ROK,10-Q,2018-07-27,-0.033792945019725185,0.029706573414151505,-0.06349951843387669,ok
