ticker,form,filing_date,ret_21d,status
ANET,10-Q,2025-08-06,0.029327045395722395,ok
ANET,10-Q,2024-05-08,0.017554067547146168,ok
ANET,10-K,2016-02-25,-0.12681054340320141,ok
ANET,10-K,2022-02-15,-0.030321705151444167,ok
ANET,10-Q,2016-08-05,0.13156797827743905,ok
ANET,10-Q,2019-08-02,-0.08123055148160019,ok
ANET,10-Q,2024-11-08,0.04662250553385916,ok
ANET,10-K,2024-02-13,0.0697148076051306,ok
ANET,10-Q,2017-11-03,0.047446509990383134,ok
ANET,10-Q,2019-11-01,0.03610362833905412,ok
ANET,10-Q,2021-11-02,0.002541321919224293,ok
ANET,10-Q,2017-05-08,0.09316989878639448,ok
ANET,10-Q,2016-11-03,0.1299951014975289,ok
ANET,10-K,2021-02-19,-0.06657022477699448,ok
ANET,10-Q,2020-08-05,-0.07787180359103618,ok
ANET,10-Q,2022-11-01,0.09451099977567634,ok
ANET,10-Q,2017-08-04,0.018482956230024605,ok
ANET,10-Q,2021-08-03,-0.05166554886124297,ok
ANET,10-K,2017-02-17,0.07483624932651667,ok
ANET,10-K,2023-02-14,0.1500069627794942,ok
ANET,10-Q,2023-05-02,0.23484959217386203,ok
ANET,10-Q,2021-05-06,0.07715577597789403,ok
ANET,10-K,2018-02-20,0.13238541605673282,ok
ANET,10-K,2025-02-19,-0.20159735678770185,ok
ANET,10-Q,2023-10-31,0.09652149557306999,ok
ANET,10-Q,2018-08-08,0.009411816817935792,ok
ANET,10-K,2019-02-15,0.11831778376374746,ok
ANET,10-Q,2020-05-06,0.1305706666956179,ok
ANET,10-Q,2019-05-06,-0.03541763112308394,ok
ANET,10-Q,2022-08-02,0.023390796295425398,ok
ANET,10-Q,2023-08-01,0.00802761428944776,ok
ANET,10-Q,2015-11-06,0.038887282136984114,ok
ANET,10-Q,2018-11-05,-0.042296006403101605,ok
ANET,10-Q,2025-05-07,0.12492774358596903,ok
APH,10-Q,2016-11-03,0.04561579326302523,ok
APH,10-K,2022-02-09,-0.0797602156906203,ok
APH,10-Q,2019-04-26,-0.11223332543528852,ok
APH,10-K,2024-02-07,0.05898715304650248,ok
APH,10-K,2020-02-12,-0.2312894764754494,ok
APH,10-Q,2016-05-05,0.06756497693754371,ok
APH,10-K,2018-02-21,-0.022864769014281028,ok
APH,10-Q,2018-10-26,-0.007401380262315849,ok
APH,10-Q,2017-08-03,0.039059846880647786,ok
APH,10-K,2025-02-07,-0.11690549291403518,ok
APH,10-Q,2016-08-04,0.05709472717838859,ok
APH,10-Q,2018-07-31,0.016255087439277505,ok
APH,10-K,2023-02-08,-0.05880900705840597,ok
APH,10-Q,2017-11-02,0.009932851304160772,ok
APH,10-K,2016-02-19,0.10047674077421886,ok
APH,10-Q,2015-11-05,0.00018264110058829885,ok
APH,10-K,2017-02-17,0.015939120738553525,ok
APH,10-K,2019-02-13,0.03875458592866843,ok
APH,10-K,2021-02-10,-0.023911173555813847,ok
APH,10-Q,2018-05-03,0.04520650649120883,ok
APH,10-Q,2017-05-04,0.052199856087135954,ok
AVGO,10-K,2021-12-17,-0.10612065613405663,ok
AVGO,10-K,2018-12-21,0.07610952153892936,ok
AVGO,10-K,2024-12-20,0.1112625547715691,ok
AVGO,10-Q,2020-09-11,0.07288444395724558,ok
AVGO,10-Q,2022-03-10,0.005511664192781485,ok
AVGO,10-Q,2021-03-12,0.08329635842925742,ok
AVGO,10-Q,2025-06-11,0.0922805623438614,ok
AVGO,10-K,2022-12-16,0.021603100861052216,ok
AVGO,10-Q,2023-09-06,-0.05035474240385862,ok
AVGO,10-Q,2019-09-13,-0.020901928759629262,ok
AVGO,10-Q,2023-03-08,-0.008127228387447616,ok
